-0.6000000E+01 -0.6000000E+01  0.5152176-173
 0.5757576E+01 -0.5636364E+01  0.3945300E-81
 0.5878788E+01 -0.5636364E+01  0.1058827E-81
 0.6000000E+01 -0.5636364E+01  0.2294120E-82
  
  
-0.6000000E+01 -0.5515152E+01  0.1562725-157
-0.5878788E+01 -0.5515152E+01  0.1650042-153
-0.5757576E+01 -0.5515152E+01  0.1377256-149
-0.5636364E+01 -0.5515152E+01  0.9087427-146
-0.5515152E+01 -0.5515152E+01  0.4739955-142
-0.5393939E+01 -0.5515152E+01  0.1954404-138
-0.5272727E+01 -0.5515152E+01  0.6370323-135
-0.5151515E+01 -0.5515152E+01  0.1641404-131
-0.5030303E+01 -0.5515152E+01  0.3343307-128
-0.4909091E+01 -0.5515152E+01  0.5383244-125
-0.4787879E+01 -0.5515152E+01  0.6852022-122
-0.4666667E+01 -0.5515152E+01  0.6894461-119
-0.4545455E+01 -0.5515152E+01  0.5483891-116
-0.4424242E+01 -0.5515152E+01  0.3448134-113
-0.4303030E+01 -0.5515152E+01  0.1713904-110
-0.4181818E+01 -0.5515152E+01  0.6734350-108
-0.4060606E+01 -0.5515152E+01  0.2091760-105
-0.3939394E+01 -0.5515152E+01  0.5136116-103
-0.3818182E+01 -0.5515152E+01  0.9969305-101
-0.3696970E+01 -0.5515152E+01  0.1529685E-98
-0.3575758E+01 -0.5515152E+01  0.1855438E-96
-0.3454545E+01 -0.5515152E+01  0.1779092E-94
-0.3333333E+01 -0.5515152E+01  0.1348524E-92
-0.3212121E+01 -0.5515152E+01  0.8080316E-91
-0.3090909E+01 -0.5515152E+01  0.3827458E-89
-0.2969697E+01 -0.5515152E+01  0.1433210E-87
-0.2848485E+01 -0.5515152E+01  0.4242649E-86
-0.2727273E+01 -0.5515152E+01  0.9929158E-85
-0.2606061E+01 -0.5515152E+01  0.1837283E-83
-0.2484848E+01 -0.5515152E+01  0.2688483E-82
-0.2363636E+01 -0.5515152E+01  0.3112169E-81
-0.2242424E+01 -0.5515152E+01  0.2852022E-80
-0.2121212E+01 -0.5515152E+01  0.2071975E-79
-0.2000000E+01 -0.5515152E+01  0.1196601E-78
-0.1878788E+01 -0.5515152E+01  0.5522786E-78
-0.1757576E+01 -0.5515152E+01  0.2057848E-77
-0.1636364E+01 -0.5515152E+01  0.6306884E-77
-0.1515152E+01 -0.5515152E+01  0.1641747E-76
-0.1393939E+01 -0.5515152E+01  0.3811558E-76
-0.1272727E+01 -0.5515152E+01  0.8375691E-76
-0.1151515E+01 -0.5515152E+01  0.1826982E-75
-0.1030303E+01 -0.5515152E+01  0.3995303E-75
-0.9090909E+00 -0.5515152E+01  0.8526272E-75
-0.7878788E+00 -0.5515152E+01  0.1717126E-74
-0.6666667E+00 -0.5515152E+01  0.3230130E-74
-0.5454545E+00 -0.5515152E+01  0.5800053E-74
-0.4242424E+00 -0.5515152E+01  0.1032628E-73
-0.3030303E+00 -0.5515152E+01  0.1863759E-73
-0.1818182E+00 -0.5515152E+01  0.3360003E-73
-0.6060606E-01 -0.5515152E+01  0.5824986E-73
 0.6060606E-01 -0.5515152E+01  0.9438159E-73
 0.1818182E+00 -0.5515152E+01  0.1432533E-72
 0.3030303E+00 -0.5515152E+01  0.2101769E-72
 0.4242424E+00 -0.5515152E+01  0.3091841E-72
 0.5454545E+00 -0.5515152E+01  0.4604261E-72
 0.6666667E+00 -0.5515152E+01  0.6758843E-72
 0.7878788E+00 -0.5515152E+01  0.9414851E-72
 0.9090909E+00 -0.5515152E+01  0.1221794E-71
 0.1030303E+01 -0.5515152E+01  0.1498762E-71
 0.1151515E+01 -0.5515152E+01  0.1803576E-71
 0.1272727E+01 -0.5515152E+01  0.2193689E-71
 0.1393939E+01 -0.5515152E+01  0.2684107E-71
 0.1515152E+01 -0.5515152E+01  0.3190923E-71
 0.1636364E+01 -0.5515152E+01  0.3563750E-71
 0.1757576E+01 -0.5515152E+01  0.3715373E-71
 0.1878788E+01 -0.5515152E+01  0.3708787E-71
 0.2000000E+01 -0.5515152E+01  0.3683579E-71
 0.2121212E+01 -0.5515152E+01  0.3708787E-71
 0.2242424E+01 -0.5515152E+01  0.3715373E-71
 0.2363636E+01 -0.5515152E+01  0.3563750E-71
 0.2484848E+01 -0.5515152E+01  0.3190923E-71
 0.2606061E+01 -0.5515152E+01  0.2684107E-71
 0.2727273E+01 -0.5515152E+01  0.2193689E-71
 0.2848485E+01 -0.5515152E+01  0.1803576E-71
 0.2969697E+01 -0.5515152E+01  0.1498762E-71
 0.3090909E+01 -0.5515152E+01  0.1221794E-71
 0.3212121E+01 -0.5515152E+01  0.9414851E-72
 0.3333333E+01 -0.5515152E+01  0.6758843E-72
 0.3454545E+01 -0.5515152E+01  0.4604261E-72
 0.3575758E+01 -0.5515152E+01  0.3091841E-72
 0.3696970E+01 -0.5515152E+01  0.2101769E-72
